Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad,combined
Deportivo Municipal Santillana,Santillana,Estadio Municipal,Copa Perú,Ayacucho,2007.0,17.0,Deportivo Municipal Santillana-Santillana-Ayacucho
Deportivo Palmeiras,Ocros,Estadio San José Glorioso,Copa Perú,Ayacucho,1979.0,45.0,Deportivo Palmeiras-Ocros-Ayacucho
Deportivo Puquio,Puquio,Estadio Jorge Castro Aguayo,Copa Perú,Ayacucho,1931.0,93.0,Deportivo Puquio-Puquio-Ayacucho
Deportivo UNSCH,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1978.0,46.0,Deportivo UNSCH-Ayacucho-Ayacucho
Estudiantes Unidos,Paccha,Estadio Ciudad de las Américas,Copa Perú,Ayacucho,1984.0,40.0,Estudiantes Unidos-Paccha-Ayacucho
Juventud Gloria,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1971.0,53.0,Juventud Gloria-Ayacucho-Ayacucho
Lolo Fernández,Puquio,Estadio Jorge Castro Aguayo,Copa Perú,Ayacucho,1955.0,69.0,Lolo Fernández-Puquio-Ayacucho
Percy Berrocal,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1998.0,26.0,Percy Berrocal-Ayacucho-Ayacucho
Player Villafuerte,Huanta,Estadio Municipal,Copa Perú,Ayacucho,2011.0,13.0,Player Villafuerte-Huanta-Ayacucho
Social Magdalena,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1945.0,79.0,Social Magdalena-Ayacucho-Ayacucho
Social Progreso,Chaviña,Estadio Municipal de Chaviña,Copa Perú,Ayacucho,1929.0,95.0,Social Progreso-Chaviña-Ayacucho
Sol Naciente,Socos,Estadio Accocapillapata,Copa Perú,Ayacucho,1985.0,39.0,Sol Naciente-Socos-Ayacucho
Sport Huamanga,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,2002.0,22.0,Sport Huamanga-Ayacucho-Ayacucho
Sport Huanta,Huanta,Estadio Municipal,Copa Perú,Ayacucho,2012.0,12.0,Sport Huanta-Huanta-Ayacucho
Sport Libertad,Sancos,Estadio Municipal de Sancos,Copa Perú,Ayacucho,1963.0,61.0,Sport Libertad-Sancos-Ayacucho
Sport San Pedro,Tambillo,Estadio Municipal de Tambillo,Copa Perú,Ayacucho,1954.0,70.0,Sport San Pedro-Tambillo-Ayacucho
Unión Lechemayo,Anco,Estadio Municipal de Anco,Copa Perú,Ayacucho,2000.0,24.0,Unión Lechemayo-Anco-Ayacucho
Unión San Melchor,San Juan el Bautista,Estadio Las Américas,Copa Perú,Ayacucho,2007.0,17.0,Unión San Melchor-San Juan el Bautista-Ayacucho
ADA,Jaén,Estadio Victor Montoya Segura,Segunda División,Cajamarca,1953.0,71.0,ADA-Jaén-Cajamarca
Asociación Deportiva Corisorgona,Corisorgona,Estadio Corisorgona,Copa Perú,Cajamarca,1968.0,56.0,Asociación Deportiva Corisorgona-Corisorgona-Cajamarca
Asociación Deportiva Tugusa,Chiguirip,Estadio Municipal de Chiguirip,Copa Perú,Cajamarca,1990.0,34.0,Asociación Deportiva Tugusa-Chiguirip-Cajamarca
CDC Sevilla,Celendín,Estadio Mártires 13 de Octubre,Copa Perú,Cajamarca,1969.0,55.0,CDC Sevilla-Celendín-Cajamarca
Comerciantes Unidos,Cutervo,Estadio Juan Maldonado Gamarra,Primera División,Cajamarca,2003.0,21.0,Comerciantes Unidos-Cutervo-Cajamarca
Cultural Deportivo Chota,Chota,Estadio Ramón Castilla,Copa Perú,Cajamarca,1953.0,71.0,Cultural Deportivo Chota-Chota-Cajamarca
Cultural Rosario,Celendín,Estadio Mártires 13 de Octubre,Copa Perú,Cajamarca,1973.0,51.0,Cultural Rosario-Celendín-Cajamarca
Cultural Santa Ana,Cajabamba,Estadio Germán Contreras Jara,Copa Perú,Cajamarca,1970.0,54.0,Cultural Santa Ana-Cajabamba-Cajamarca
Cultural Volante,Bambamarca,Estadio El Frutillo,Copa Perú,Cajamarca,1973.0,51.0,Cultural Volante-Bambamarca-Cajamarca
Defensor Baños del Inca,Baños del Inca,Club del Pueblo,Copa Perú,Cajamarca,1963.0,61.0,Defensor Baños del Inca-Baños del Inca-Cajamarca
Deportivo Bellavista,Bellavista,Estadio Municipal de Bellavista,Copa Perú,Cajamarca,1953.0,71.0,Deportivo Bellavista-Bellavista-Cajamarca
Deportivo Bracamoros,Jaén,Estadio Victor Montoya Segura,Copa Perú,Cajamarca,1957.0,67.0,Deportivo Bracamoros-Jaén-Cajamarca
Deportivo Calapacho,José Galvez,Estadio Municipal de José Gálvez,Copa Perú,Cajamarca,2011.0,13.0,Deportivo Calapacho-José Galvez-Cajamarca
Deportivo Champagnat,Cajamarca,Estadio Héroes de San Ramón,Copa Perú,Cajamarca,2009.0,15.0,Deportivo Champagnat-Cajamarca-Cajamarca
Deportivo Hualgayoc,Hualgáyoc,Estadio José Gálvez Egúsquiza,Copa Perú,Cajamarca,1992.0,32.0,Deportivo Hualgayoc-Hualgáyoc-Cajamarca
Deportivo Municipal de San Ignacio,San Ignacio,Estadio Defensores del Chaupe,Copa Perú,Cajamarca,1997.0,27.0,Deportivo Municipal de San Ignacio-San Ignacio-Cajamarca
Deportivo Municipal de Tembladera,Tembladera,Estadio Jorge Díaz Torres,Copa Perú,Cajamarca,1948.0,76.0,Deportivo Municipal de Tembladera-Tembladera-Cajamarca
Escuela Normal,Chota,Estadio Ramón Castilla,Copa Perú,Cajamarca,1971.0,53.0,Escuela Normal-Chota-Cajamarca
Estrella Roja,Chota,Estadio Ramón Castilla,Copa Perú,Cajamarca,1966.0,58.0,Estrella Roja-Chota-Cajamarca
Estrella Roja,San Ignacio,Estadio Defensores del Chaupe,Copa Perú,Cajamarca,1978.0,46.0,Estrella Roja-San Ignacio-Cajamarca
Estudiantes Casanovistas,Cutervo,Estadio Juan Maldonado Gamarra,Copa Perú,Cajamarca,1968.0,56.0,Estudiantes Casanovistas-Cutervo-Cajamarca
Estudiantil,Magdalena,El Monumental del Jequetepeque,Copa Perú,Cajamarca,1964.0,60.0,Estudiantil-Magdalena-Cajamarca
Huracán Tembladera,Tembladera,Estadio Jorge Díaz Torres,Copa Perú,Cajamarca,1953.0,71.0,Huracán Tembladera-Tembladera-Cajamarca
Juventud Otuzco,Baños del Inca,Estadio Club del Pueblo,Copa Perú,Cajamarca,1974.0,50.0,Juventud Otuzco-Baños del Inca-Cajamarca
Las Palmas,Chota,Estadio Ramón Castilla,Copa Perú,Cajamarca,2017.0,7.0,Las Palmas-Chota-Cajamarca
Lira Jesuense,Jesús,Estadio Dulce Nombre de Jesús,Copa Perú,Cajamarca,,,Lira Jesuense-Jesús-Cajamarca
Los Inseparables,Cutervo,Estadio Juan Maldonado Gamarra,Copa Perú,Cajamarca,1960.0,64.0,Los Inseparables-Cutervo-Cajamarca
Quingray Cruz,Cajabamba,Estadio Germán Contreras Jara,Copa Perú,Cajamarca,2014.0,10.0,Quingray Cruz-Cajabamba-Cajamarca
Real JL,Cajamarca,Estadio Héroes de San Ramón,Copa Perú,Cajamarca,2013.0,11.0,Real JL-Cajamarca-Cajamarca
San Cayetano,Celendín,Estadio Municipal de Celendín,Copa Perú,Cajamarca,1961.0,63.0,San Cayetano-Celendín-Cajamarca
Sport Prado,Cajamarca,Estadio Héroes de San Ramón,Copa Perú,Cajamarca,2008.0,16.0,Sport Prado-Cajamarca-Cajamarca
Sporting Caxamarca,Cajamarca,Estadio Héroes de San Ramón,Copa Perú,Cajamarca,1975.0,49.0,Sporting Caxamarca-Cajamarca-Cajamarca
Unión Bambamarca,Bambamarca,Estadio El Frutillo,Copa Perú,Cajamarca,,,Unión Bambamarca-Bambamarca-Cajamarca
UTC,Cajamarca,Estadio Héroes de San Ramón,Primera División,Cajamarca,1965.0,59.0,UTC-Cajamarca-Cajamarca
Academia Cantolao,La Punta,Estadio Miguel Grau,Segunda División,Callao,1981.0,43.0,Academia Cantolao-La Punta-Callao
ADEBAMI,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1990.0,34.0,ADEBAMI-La Legua - Reynoso-Callao
